2.46e-02, 7.70e-02, 3.34e-09, 3.48e-09, 3.59e-09, 3.72e-09, 4.01e-09, 4.60e-09, 5.19e-09, 4.98e-09, 4.03e-09, 3.19e-09, 2.70e-09, 2.39e-09, 2.14e-09, 1.90e-09, 1.68e-09, 1.47e-09, 1.28e-09, 1.15e-09, 1.13e-09
2.25e-02, 7.13e-02, 3.35e-09, 3.49e-09, 3.60e-09, 3.73e-09, 4.03e-09, 4.62e-09, 5.22e-09, 5.01e-09, 4.05e-09, 3.20e-09, 2.70e-09, 2.39e-09, 2.14e-09, 1.90e-09, 1.67e-09, 1.46e-09, 1.27e-09, 1.14e-09, 1.12e-09
2.06e-02, 6.60e-02, 3.35e-09, 3.49e-09, 3.60e-09, 3.74e-09, 4.03e-09, 4.63e-09, 5.24e-09, 5.03e-09, 4.06e-09, 3.20e-09, 2.70e-09, 2.38e-09, 2.13e-09, 1.89e-09, 1.67e-09, 1.45e-09, 1.26e-09, 1.13e-09, 1.11e-09
1.88e-02, 6.10e-02, 3.34e-09, 3.48e-09, 3.59e-09, 3.73e-09, 4.03e-09, 4.63e-09, 5.25e-09, 5.03e-09, 4.06e-09, 3.20e-09, 2.69e-09, 2.37e-09, 2.12e-09, 1.88e-09, 1.65e-09, 1.44e-09, 1.25e-09, 1.12e-09, 1.10e-09
1.73e-02, 5.65e-02, 3.32e-09, 3.46e-09, 3.58e-09, 3.71e-09, 4.01e-09, 4.62e-09, 5.24e-09, 5.02e-09, 4.04e-09, 3.18e-09, 2.67e-09, 2.36e-09, 2.10e-09, 1.86e-09, 1.64e-09, 1.42e-09, 1.24e-09, 1.11e-09, 1.08e-09
1.58e-02, 5.22e-02, 3.30e-09, 3.44e-09, 3.55e-09, 3.69e-09, 3.99e-09, 4.60e-09, 5.23e-09, 5.01e-09, 4.02e-09, 3.16e-09, 2.65e-09, 2.34e-09, 2.08e-09, 1.84e-09, 1.62e-09, 1.41e-09, 1.22e-09, 1.09e-09, 1.07e-09
1.45e-02, 4.83e-02, 3.27e-09, 3.41e-09, 3.53e-09, 3.66e-09, 3.96e-09, 4.58e-09, 5.20e-09, 4.98e-09, 4.00e-09, 3.13e-09, 2.63e-09, 2.31e-09, 2.06e-09, 1.82e-09, 1.60e-09, 1.39e-09, 1.20e-09, 1.07e-09, 1.05e-09
1.33e-02, 4.47e-02, 3.24e-09, 3.38e-09, 3.49e-09, 3.63e-09, 3.93e-09, 4.54e-09, 5.17e-09, 4.95e-09, 3.96e-09, 3.10e-09, 2.60e-09, 2.28e-09, 2.03e-09, 1.80e-09, 1.57e-09, 1.36e-09, 1.18e-09, 1.05e-09, 1.03e-09
1.22e-02, 4.14e-02, 3.20e-09, 3.35e-09, 3.46e-09, 3.60e-09, 3.89e-09, 4.50e-09, 5.13e-09, 4.91e-09, 3.93e-09, 3.07e-09, 2.56e-09, 2.25e-09, 2.00e-09, 1.77e-09, 1.55e-09, 1.34e-09, 1.16e-09, 1.03e-09, 1.01e-09
1.12e-02, 3.83e-02, 3.17e-09, 3.31e-09, 3.42e-09, 3.56e-09, 3.85e-09, 4.46e-09, 5.09e-09, 4.87e-09, 3.88e-09, 3.03e-09, 2.53e-09, 2.22e-09, 1.97e-09, 1.74e-09, 1.52e-09, 1.31e-09, 1.14e-09, 1.01e-09, 9.90e-10
